Sequence,scientific_name,Family1,Order1,Avibase.ID1,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size
7652.0,megalurulus turipavae,Locustellidae,Passeriformes,AVIBASE-7742FBED,0,0,0,0,0,18.4,11.5,3.7,4.3,26.1,63.2,6.8,56.4,10.8,63.2,36.0,DataFromSplit,,YES,Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length,Megalurulus whitneyi,Forest,1,1.0,Carnivore,Invertivore,Terrestrial,-9.84,-9.61,-9.72,160.16,455.93
7653.0,megalurulus whitneyi,Locustellidae,Passeriformes,AVIBASE-582FE962,4,3,1,0,4,18.4,11.5,3.7,4.3,26.1,63.2,6.8,56.4,10.8,63.2,36.0,Dunning,,NO,,,Forest,1,1.0,Carnivore,Invertivore,Terrestrial,-15.48,-14.78,-15.2,166.72,542.62
7626.0,schoenicola brevirostris,Locustellidae,Passeriformes,AVIBASE-2470FC01,4,2,2,0,4,13.1,6.8,2.8,3.6,18.6,59.1,8.9,50.2,15.1,78.0,15.7,Dunning,,NO,,,Grassland,3,1.0,Carnivore,Invertivore,Terrestrial,-32.41,10.58,-7.75,24.49,2804794.87
6153.0,melidectes fuscus,Meliphagidae,Passeriformes,AVIBASE-D7B7F99D,9,2,5,2,6,29.2,15.8,3.9,4.5,32.1,105.7,20.9,82.9,20.1,106.4,45.0,Dunning,,NO,,,Forest,1,1.0,Omnivore,Omnivore,Insessorial,-9.5,-3.36,-5.16,141.24,70507.07
6154.0,melidectes nouhuysi,Meliphagidae,Passeriformes,AVIBASE-3AD81505,4,2,2,0,4,32.0,17.4,4.6,5.8,37.9,127.8,28.9,98.9,22.7,125.0,62.26,EltonTraits_GenAvg,,NO,,,Forest,2,1.0,Herbivore,Omnivore,Insessorial,-5.04,-3.49,-4.17,138.43,9644.8
6155.0,melidectes princeps,Meliphagidae,Passeriformes,AVIBASE-957638DE,7,1,4,2,4,47.2,29.0,4.6,4.7,32.9,115.5,24.0,87.6,21.6,108.4,42.0,Dunning,,NO,,,Forest,2,,Omnivore,Omnivore,Insessorial,-6.92,-5.39,-5.83,143.88,5094.69
9966.0,anthus lutescens,Motacillidae,Passeriformes,AVIBASE-5CAA1EA8,8,2,5,1,4,13.3,8.3,3.1,3.3,19.3,60.4,3.8,56.4,6.4,45.5,12.6,Dunning,,NO,,,Shrubland,3,2.0,Carnivore,Invertivore,Terrestrial,-37.14,10.02,-17.14,-54.84,7241509.05
9067.0,bradornis boehmi,Muscicapidae,Passeriformes,AVIBASE-D5629ECA,7,2,2,3,7,13.1,7.9,3.7,4.3,18.3,79.4,15.1,64.3,19.1,52.7,19.3,Updated_live.sample,Live sample (field data),NO,,,Woodland,2,1.0,Carnivore,Invertivore,Insessorial,-16.68,-3.84,-12.25,26.18,863704.75
9068.0,bradornis fuliginosus,Muscicapidae,Passeriformes,AVIBASE-AD9EBAC2,5,2,3,0,4,10.1,5.8,3.2,3.5,11.6,81.2,19.6,60.9,24.4,49.2,17.7,Dunning,,NO,,,Forest,2,1.0,Carnivore,Invertivore,Insessorial,-11.7,7.12,-1.07,19.26,3058321.55
9069.0,bradornis ussheri,Muscicapidae,Passeriformes,AVIBASE-79993B33,5,2,3,0,4,9.8,5.8,3.9,3.5,13.9,82.6,21.3,60.4,26.0,52.2,17.84,Dunning,,NO,,,Forest,1,1.0,Carnivore,Invertivore,Insessorial,4.35,11.97,7.02,-6.98,473137.79
