avibase_id,mass_BB,elevation_min_BB,elevation_range_BB,elevation_max_BB,habitat_BB,primary_diet_BB,nest_type_BB,flightless_BB,trophic_niche_BB
AVIBASE-EE674721,54.5,0.0,1000.0,1000.0,Shrubland,Carnivore,,No,Invertivore
AVIBASE-75BAB34E,75.55,0.0,1300.0,1300.0,Woodland,Carnivore,,No,Invertivore
AVIBASE-6135A721,,,,,Woodland,Carnivore,,No,Invertivore
AVIBASE-20521EC7,,,,,Woodland,Carnivore,,No,Invertivore
AVIBASE-996AF595,113.25,,,1500.0,Woodland,Omnivore,,No,Omnivore
AVIBASE-D5703E7A,69.1,900.0,800.0,1700.0,Woodland,Herbivore,,No,Frugivore
AVIBASE-405CCAAE,68.5,0.0,3000.0,3000.0,Shrubland,Carnivore,,No,Invertivore
AVIBASE-621F6E07,58.66667,500.0,1500.0,2000.0,Woodland,Carnivore,,No,Invertivore
AVIBASE-B24A13C7,45.0,0.0,1300.0,1300.0,Shrubland,Carnivore,,No,Invertivore
AVIBASE-B92C3566,66.0,0.0,2440.0,2440.0,Grassland,Carnivore,,No,Invertivore
AVIBASE-6BFEA7BE,61.0,1100.0,700.0,1800.0,Woodland,Carnivore,,No,Invertivore
AVIBASE-4FF4CAF8,49.33333,0.0,1900.0,1900.0,Shrubland,Carnivore,,No,Invertivore
AVIBASE-C244BE28,101.66667,0.0,2500.0,2500.0,Grassland,Omnivore,,No,Omnivore
AVIBASE-A77D4A77,,300.0,1200.0,1500.0,Shrubland,Omnivore,,No,Omnivore
AVIBASE-9D7AA862,40.5,0.0,1800.0,1800.0,Forest,Herbivore,CV,No,Frugivore
AVIBASE-B1A3AF6C,46.53333,0.0,3000.0,3000.0,Forest,Herbivore,,No,Frugivore
AVIBASE-508D5CA2,133.5,0.0,3000.0,3000.0,Rock,Herbivore,,No,Frugivore
AVIBASE-F2C7AA06,126.5,1300.0,1700.0,3000.0,Forest,Herbivore,,No,Frugivore
AVIBASE-01D755E8,114.66667,0.0,1000.0,1000.0,Forest,Herbivore,,No,Frugivore
AVIBASE-E11D6D66,86.0,1000.0,2000.0,3000.0,Forest,Herbivore,,No,Frugivore
AVIBASE-9F79E839,100.0,0.0,3800.0,3800.0,Rock,Omnivore,,No,Omnivore
AVIBASE-9AD060AA,100.0,0.0,1100.0,1100.0,Rock,Omnivore,CV,No,Omnivore
AVIBASE-0EDF9145,123.0,0.0,3200.0,3200.0,Rock,Herbivore,,No,Frugivore
AVIBASE-975D0D5D,105.33333,0.0,2000.0,2000.0,Rock,Omnivore,,No,Omnivore
AVIBASE-E8DEABBD,143.66667,400.0,900.0,1300.0,Rock,Herbivore,,No,Frugivore
AVIBASE-B3461BEC,136.66667,2000.0,1000.0,3000.0,Rock,Omnivore,,No,Omnivore
AVIBASE-DB82ABEA,,500.0,2000.0,2500.0,Rock,Herbivore,CP,No,Frugivore
AVIBASE-AEC1B69C,40.33333,1500.0,1100.0,2600.0,Forest,Herbivore,CV,No,Frugivore
AVIBASE-295B9665,47.83333,450.0,2050.0,2500.0,Forest,Herbivore,"CV,O",No,Frugivore
AVIBASE-E2FB8C49,39.53333,0.0,1700.0,1700.0,Forest,Herbivore,,No,Frugivore
AVIBASE-D6F2837E,45.66667,1800.0,700.0,2500.0,Forest,Herbivore,,No,Frugivore
AVIBASE-1350773F,,1800.0,800.0,2600.0,Forest,Omnivore,"CV,O",No,Omnivore
AVIBASE-D9E58EA7,64.0,860.0,340.0,1200.0,Woodland,Herbivore,,No,Frugivore
AVIBASE-D3390C6C,64.25,0.0,1200.0,1200.0,Woodland,Omnivore,,No,Omnivore
AVIBASE-3F941452,68.0,0.0,1500.0,1500.0,Woodland,Carnivore,,No,Invertivore
AVIBASE-2D92A49B,26.5,0.0,1000.0,1000.0,Forest,Omnivore,CV,No,Omnivore
AVIBASE-1FE5D5C8,39.4,500.0,1250.0,1750.0,Forest,Omnivore,CV,No,Omnivore
AVIBASE-BFBAA892,,800.0,950.0,1750.0,Forest,Carnivore,CV,No,Invertivore
AVIBASE-7B63B7D9,45.5,0.0,1250.0,1250.0,Forest,Omnivore,CV,No,Omnivore
AVIBASE-5D970425,61.5,0.0,1000.0,1000.0,Woodland,Carnivore,CV,No,Invertivore
AVIBASE-7471E71D,50.5,0.0,3000.0,3000.0,Grassland,Carnivore,CV,No,Invertivore
AVIBASE-493D380B,45.0,3000.0,2500.0,5500.0,Rock,Omnivore,CP,No,Omnivore
AVIBASE-97B870B4,30.075,1000.0,3270.0,4270.0,Grassland,Carnivore,CP,No,Invertivore
AVIBASE-AC2B812A,27.0,0.0,2900.0,2900.0,Woodland,Carnivore,CP,No,Invertivore
AVIBASE-A8347C7D,29.88333,0.0,2440.0,2440.0,Woodland,Carnivore,CP,No,Invertivore
AVIBASE-6DD922F2,37.75,0.0,1500.0,1500.0,Forest,Carnivore,,No,Invertivore
AVIBASE-031AC7C9,34.85,0.0,1500.0,1500.0,Forest,Carnivore,HC,No,Invertivore
AVIBASE-0BD37CDF,51.83333,0.0,1900.0,1900.0,Forest,Carnivore,,No,Invertivore
AVIBASE-90FDC4CC,66.5,0.0,1400.0,1400.0,Forest,Carnivore,PL,No,Invertivore
AVIBASE-ECCFBEB5,61.28,,,,Rock,Carnivore,CP,No,Invertivore
AVIBASE-E4DF8DBE,39.36667,300.0,3200.0,3500.0,Forest,Herbivore,CP,No,Frugivore
AVIBASE-E294A36A,36.9,780.0,1920.0,2700.0,Forest,Herbivore,CP,No,Frugivore
AVIBASE-5459228D,32.83333,350.0,3150.0,3500.0,Forest,Omnivore,CP,No,Omnivore
AVIBASE-2641F161,20.0,1050.0,250.0,1300.0,Forest,Herbivore,,No,Frugivore
AVIBASE-09CC6AEA,,0.0,1000.0,1000.0,Forest,Herbivore,,No,Frugivore
AVIBASE-C52EFB11,,1000.0,200.0,1200.0,Forest,Herbivore,CP,No,Frugivore
AVIBASE-A1C41A3F,50.91,1000.0,2000.0,3000.0,Forest,Herbivore,CP,No,Frugivore
AVIBASE-62B955D3,40.0,1050.0,250.0,1300.0,Forest,Herbivore,CP,No,Frugivore
AVIBASE-6FD86A69,32.25,0.0,2000.0,2000.0,Forest,Carnivore,CP,No,Invertivore
AVIBASE-FE142904,29.4,240.0,640.0,880.0,Forest,Herbivore,CP,No,Frugivore
AVIBASE-F76226A8,31.925,450.0,2300.0,2750.0,Forest,Herbivore,CP,No,Frugivore
AVIBASE-6EFA5695,29.08333,900.0,600.0,1500.0,Forest,Herbivore,,No,Frugivore
AVIBASE-8FE62CA5,28.056,800.0,2000.0,2800.0,Forest,Carnivore,CP,No,Invertivore
AVIBASE-69DE3A4D,65.1,700.0,2500.0,3200.0,Forest,Herbivore,CP,No,Frugivore
AVIBASE-65A535DA,103.0,1000.0,2000.0,3000.0,Forest,Herbivore,HC,No,Frugivore
AVIBASE-D29F7DED,106.5,700.0,1100.0,1800.0,Forest,Herbivore,HC,No,Frugivore
AVIBASE-80724C8B,,1000.0,1200.0,2200.0,Forest,Herbivore,,No,Frugivore
AVIBASE-031D861E,,900.0,2100.0,3000.0,Forest,Herbivore,HC,No,Frugivore
AVIBASE-58312873,81.58333,0.0,2000.0,2000.0,Forest,Omnivore,,No,Omnivore
AVIBASE-2C57FFF5,80.25,1800.0,1700.0,3500.0,Forest,Carnivore,CP,No,Invertivore
AVIBASE-EF37266B,53.0,750.0,100.0,850.0,Forest,Herbivore,CP,No,Frugivore
AVIBASE-01C2BBD4,44.0,500.0,950.0,1450.0,Forest,Herbivore,CP,No,Frugivore
AVIBASE-3ECE7C7F,58.5,400.0,800.0,1200.0,Forest,Herbivore,,No,Frugivore
AVIBASE-74070E02,47.35,690.0,810.0,1500.0,Forest,Herbivore,,No,Frugivore
AVIBASE-C2CEE19A,57.0,600.0,1000.0,1600.0,Forest,Herbivore,CP,No,Frugivore
AVIBASE-26A08D59,63.14,1500.0,1300.0,2800.0,Forest,Herbivore,,No,Frugivore
AVIBASE-8E1D9327,53.875,50.0,1275.0,1325.0,Forest,Carnivore,CP,No,Invertivore
AVIBASE-17697D12,36.275,1200.0,1800.0,3000.0,Forest,Carnivore,,No,Invertivore
AVIBASE-3CC53D26,37.8,600.0,1700.0,2300.0,Forest,Carnivore,,No,Invertivore
AVIBASE-7FC3681F,28.66667,400.0,2500.0,2900.0,Forest,Carnivore,CP,No,Invertivore
AVIBASE-259F7A06,31.5,300.0,1500.0,1800.0,Forest,Carnivore,CP,No,Invertivore
AVIBASE-345A1B6E,36.26667,600.0,2650.0,3250.0,Forest,Carnivore,CP,No,Invertivore
AVIBASE-AC269ED8,34.05,0.0,2000.0,2000.0,Forest,Carnivore,CP,No,Invertivore
AVIBASE-B066CD21,31.86667,0.0,2300.0,2300.0,Forest,Carnivore,CP,No,Invertivore
AVIBASE-CB874866,20.45,1800.0,1700.0,3500.0,Forest,Carnivore,CP,No,Invertivore
AVIBASE-B01E8BD4,28.0,0.0,3500.0,3500.0,Forest,Carnivore,,No,Invertivore
AVIBASE-EFA53F7D,28.2925,1500.0,2000.0,3500.0,Forest,Carnivore,,No,Invertivore
AVIBASE-AE3380AF,29.23333,1350.0,2150.0,3500.0,Forest,Carnivore,CP,No,Invertivore
AVIBASE-B904BB22,31.88333,0.0,2000.0,2000.0,Forest,Carnivore,CP,No,Invertivore
AVIBASE-5E1BED9D,27.58333,0.0,2225.0,2225.0,Forest,Carnivore,CP,No,Invertivore
AVIBASE-0B8F4EE6,38.84333,0.0,2500.0,2500.0,Forest,Carnivore,CP,No,Invertivore
AVIBASE-37CC6F0D,92.625,1000.0,3200.0,4200.0,Forest,Carnivore,CP,No,Invertivore
AVIBASE-CE0D5641,93.66667,1300.0,3200.0,4500.0,Shrubland,Carnivore,CP,No,Invertivore
AVIBASE-1BF62F08,79.5,1440.0,2410.0,3850.0,Forest,Carnivore,CP,No,Invertivore
AVIBASE-A328C3EC,81.0,2130.0,1170.0,3300.0,Forest,Carnivore,CP,No,Invertivore
AVIBASE-F13C1733,123.0,900.0,2900.0,3800.0,Forest,Carnivore,CP,No,Invertivore
AVIBASE-6E50C3FA,,1700.0,1800.0,3500.0,Forest,Carnivore,,No,Invertivore
AVIBASE-6A3FCF48,79.0,750.0,1350.0,2100.0,Forest,Carnivore,CP,No,Invertivore
AVIBASE-5CA42489,80.6,1200.0,940.0,2140.0,Forest,Carnivore,,No,Invertivore
