avibase_id,species_birdlife,species_birdtree,family_birdlife,order_birdlife,family_birdtree,order_birdtree,beak_culmen,beak_nares,beak_width,beak_depth,dimorphism_beak_culmen,dimorphism_beak_nares,dimorphism_beak_width,beak_elongation,beak_robustness,tarsus,dimorphism_tarsus,wing_len,kipps,secondary,hwi,dimorphism_wing_len,dimorphism_kipps,dimorphism_secondary,dimorphism_hwi,wing_pointedness,wing_loading,log_wing_loading,aspect_ratio,tail,dimorphism_tail,tail_to_wing,mass,log_mass,body_condition,total_individuals,female_count,male_count,mass_source,inference,lat_min,abs_lat_min,lat_max,abs_lat_max,lat_centroid,abs_lat_centroid,lon_centroid,range_size,log_RangeSize,climate_zone,habitat,habitat_density,migration,trophic_level,trophic_niche,lifestyle
AVIBASE-0AD53589,Bolborhynchus lineola,Bolborhynchus_lineola,Psittacidae,Psittaciformes,Psittacidae,Psittaciformes,12.65556,11.30000,8.04000,10.68000,0.05136,0.07080,0.00622,1.57407,6.78494,10.76667,-0.04412,104.33333,54.18750,50.06250,52.02500,-0.01917,-0.01153,-0.02747,0.00865,0.51937,0.00516,-5.26626,2.08406,59.44444,0.00000,0.56976,56.20000,4.02892,0.04503,9.00000,4.00000,4.00000,Dunning,NO,-17.87000,17.87000,20.13000,20.13000,5.54000,5.54000,-82.15000,279157.10000,12.53953,tropical,Forest,Open,partial,Herbivore,Omnivore,Insessorial
AVIBASE-145BB516,Bolborhynchus orbygnesius,Bolborhynchus_orbygnesius,Psittacidae,Psittaciformes,Psittacidae,Psittaciformes,13.47143,12.25000,8.90000,13.42500,-0.01237,-0.03265,-0.08989,1.51364,8.86933,12.60000,-0.00463,106.57143,44.92857,61.64286,42.17143,-0.01251,-0.02875,-0.00068,-0.01502,0.42158,0.00379,-5.57411,1.72885,66.85714,0.03552,0.62735,43.10000,3.76352,0.02155,7.00000,3.00000,4.00000,Dunning,NO,-18.35000,18.35000,-6.42000,6.42000,-13.53000,13.53000,-71.62000,191118.76000,12.16065,tropical,Shrubland,Semi-dense,partial,Herbivore,Omnivore,Insessorial
AVIBASE-565AF493,Bolemoreus frenatus,Lichenostomus_frenatus,Meliphagidae,Passeriformes,Meliphagidae,Passeriformes,25.75333,11.96250,3.35333,4.80667,0.04514,0.06743,0.09940,7.67993,0.62587,24.23333,0.04979,99.66667,19.28750,78.96250,19.57500,0.11162,0.16695,0.08924,0.06198,0.19352,0.00343,-5.67437,1.26220,83.60000,0.06803,0.83880,34.10000,3.52930,0.00240,15.00000,8.00000,6.00000,Dunning,NO,-19.97000,19.97000,-15.00000,15.00000,-17.76000,17.76000,145.62000,58164.64000,10.97103,tropical,Forest,Open,resident,Omnivore,Omnivore,Insessorial
AVIBASE-A2F32028,Bolemoreus hindwoodi,Lichenostomus_hindwoodi,Meliphagidae,Passeriformes,Meliphagidae,Passeriformes,20.22857,12.73715,2.92857,4.00000,0.05685,0.01948,0.05805,6.90732,0.57910,20.65000,0.07264,85.78571,17.76126,72.81016,19.38053,0.08510,0.01621,0.03090,-0.01236,0.20704,0.00311,-5.77257,1.17821,69.21429,0.07152,0.80683,22.90000,3.13114,0.00260,7.00000,5.00000,2.00000,Dunning,YES,-21.28000,21.28000,-20.87000,20.87000,-21.09000,21.09000,148.51000,933.44000,6.83888,tropical,Forest,Open,resident,Herbivore,Omnivore,Insessorial
AVIBASE-9437D635,Bombycilla cedrorum,Bombycilla_cedrorum,Bombycillidae,Passeriformes,Bombycillidae,Passeriformes,15.06000,6.57500,4.50000,4.88000,0.05367,0.11407,-0.01852,3.34667,1.45817,16.72000,-0.01545,95.45000,33.53333,61.96667,35.12222,0.04278,0.02997,0.05640,-0.01808,0.35132,0.00347,-5.66405,1.54034,59.77778,0.11375,0.62627,31.60000,3.45316,0.00676,10.00000,4.00000,6.00000,Dunning,NO,33.45000,33.45000,60.20000,60.20000,47.88000,47.88000,-97.87000,7437954.14000,15.82211,temperate,Woodland,Semi-dense,migratory,Herbivore,Frugivore,Insessorial
AVIBASE-AEF821EC,Bombycilla garrulus,Bombycilla_garrulus,Bombycillidae,Passeriformes,Bombycillidae,Passeriformes,15.50000,7.57500,5.12000,6.00000,-0.01613,0.03300,0.07162,3.02734,1.98194,20.72000,0.00965,116.15385,43.85000,72.31667,37.75000,-0.00154,-0.01824,0.00876,-0.01766,0.37752,0.00403,-5.51347,1.60618,65.80000,0.00760,0.56649,54.40000,3.99636,0.00612,13.00000,6.00000,7.00000,Dunning,NO,47.49000,47.49000,70.45000,70.45000,61.26000,61.26000,25.88000,12792145.00000,16.36434,polar,Forest,Open,migratory,Herbivore,Omnivore,Insessorial
AVIBASE-F13AA87F,Bombycilla japonica,Bombycilla_japonica,Bombycillidae,Passeriformes,Bombycillidae,Passeriformes,15.84000,6.95000,4.64000,5.48000,-0.04840,0.02878,0.03233,3.41379,1.60525,17.30000,0.05780,107.20000,44.05000,63.20000,41.07500,0.01866,0.02270,0.02373,-0.00122,0.41091,0.00368,-5.60461,1.69620,54.00000,0.09259,0.50373,42.30000,3.74479,0.00817,5.00000,2.00000,3.00000,Dunning,NO,48.87000,48.87000,56.08000,56.08000,52.34000,52.34000,131.42000,869392.31000,13.67555,temperate,Forest,Open,partial,Omnivore,Frugivore,Insessorial
AVIBASE-B8CA2EEB,Bonasa bonasia,Bonasa_bonasia,Phasianidae,Galliformes,Phasianidae,Galliformes,21.71111,11.15000,9.02000,9.12000,0.05481,0.10762,0.04989,2.40700,3.78895,35.08889,0.06868,169.38889,55.83750,113.72500,32.95000,0.01077,0.02552,0.00835,0.01062,0.32964,0.01495,-4.20294,1.48946,117.77778,0.04818,0.69531,429.00000,6.06146,0.00993,9.00000,4.00000,5.00000,Dunning,NO,38.72000,38.72000,69.38000,69.38000,58.00000,58.00000,86.67000,15669355.23000,16.56722,temperate,Woodland,Open,resident,Herbivore,Herbivore terrestrial,Generalist
AVIBASE-05BEE346,Bonasa sewerzowi,Bonasa_sewerzowi,Phasianidae,Galliformes,Phasianidae,Galliformes,20.60000,11.85000,9.07500,9.60000,0.08738,0.05063,0.08264,2.26997,4.22913,36.50000,0.08767,167.50000,57.32500,110.17500,34.20000,0.03582,0.13345,-0.01498,0.09942,0.34224,0.00953,-4.65360,1.52031,119.00000,0.15966,0.71045,267.30000,5.58837,0.00550,4.00000,2.00000,2.00000,Dunning,NO,26.50000,26.50000,36.15000,36.15000,30.83000,30.83000,101.34000,394309.68000,12.88489,temperate,Forest,Semi-dense,resident,Herbivore,Herbivore terrestrial,Terrestrial
AVIBASE-6D2B5CDA,Bonasa umbellus,Bonasa_umbellus,Phasianidae,Galliformes,Phasianidae,Galliformes,25.42000,13.27500,9.96000,9.68000,-0.03016,-0.03013,-0.05355,2.55221,3.79279,42.22000,0.02526,183.20000,69.80000,112.20000,38.30000,0.08916,0.06948,0.09492,-0.01697,0.38100,0.01582,-4.14658,1.63280,152.00000,0.09430,0.82969,530.90000,6.27457,0.00705,5.00000,1.00000,3.00000,Dunning,NO,33.94000,33.94000,67.56000,67.56000,52.89000,52.89000,-105.75000,8071254.33000,15.90382,temperate,Shrubland,Open,resident,Herbivore,Herbivore terrestrial,Generalist
AVIBASE-8B771A3B,Bostrychia bocagei,Bostrychia_bocagei,Threskiornithidae,Pelecaniformes,Threskiornithidae,Pelecaniformes,83.00000,125.76556,16.01900,18.22353,0.89842,0.11459,0.02668,5.18135,3.51714,53.00000,0.70772,237.00000,123.69804,228.42426,35.02672,0.50674,0.03452,0.02586,0.00432,0.52193,0.01542,-4.17224,1.03754,92.00000,0.62619,0.38819,866.00000,6.76388,0.00582,1.00000,1.00000,0.00000,Inferred,YES,0.10000,0.10000,0.24000,0.24000,0.18000,0.18000,6.56000,220.87000,5.39757,tropical,Forest,Open,resident,Carnivore,Invertivore,Terrestrial
AVIBASE-AC5B7A01,Bostrychia carunculata,Bostrychia_carunculata,Threskiornithidae,Pelecaniformes,Threskiornithidae,Pelecaniformes,125.82000,102.77500,15.58000,21.34000,0.00026,0.04914,0.03530,8.07574,2.64248,65.50000,-0.07761,363.80000,110.32500,251.42500,30.50000,0.00825,0.02402,-0.01253,0.02623,0.30326,0.01133,-4.47999,1.44695,157.00000,-0.07962,0.43156,1500.00000,7.31322,0.00534,5.00000,2.00000,3.00000,Updated_literature,NO,4.83000,4.83000,16.42000,16.42000,9.46000,9.46000,39.15000,539792.68000,13.19894,tropical,Wetland,Dense,resident,Carnivore,Invertivore,Terrestrial
AVIBASE-CAFBA217,Bostrychia hagedash,Bostrychia_hagedash,Threskiornithidae,Pelecaniformes,Threskiornithidae,Pelecaniformes,144.43333,103.90000,15.00000,20.02500,0.04101,-0.13619,0.01333,9.62889,2.07968,73.96296,0.01647,338.84615,91.06667,245.26667,27.13333,0.03815,0.19876,0.01726,0.13145,0.26876,0.01078,-4.52984,1.38154,162.44444,-0.00007,0.47940,1238.00000,7.12125,0.00306,27.00000,14.00000,12.00000,Dunning,NO,-34.84000,34.84000,17.95000,17.95000,-1.06000,1.06000,21.38000,16241597.55000,16.60309,tropical,Grassland,Semi-dense,resident,Carnivore,Invertivore,Terrestrial
AVIBASE-23ACB56E,Bostrychia olivacea,Bostrychia_olivacea,Threskiornithidae,Pelecaniformes,Threskiornithidae,Pelecaniformes,118.05000,93.27500,14.47500,20.30000,0.00678,0.00697,0.02418,8.15544,2.48914,66.55000,-0.00301,347.00000,91.12500,255.87500,26.27500,-0.06340,-0.00933,-0.08266,0.05519,0.26261,0.00719,-4.93476,1.35613,143.50000,-0.07666,0.41354,866.00000,6.76388,0.00294,4.00000,2.00000,2.00000,Inferred,YES,-5.99000,5.99000,8.94000,8.94000,1.55000,1.55000,12.63000,802325.59000,13.59527,tropical,Forest,Open,resident,Carnivore,Omnivore,Terrestrial
AVIBASE-44E9A521,Bostrychia rara,Bostrychia_rara,Threskiornithidae,Pelecaniformes,Threskiornithidae,Pelecaniformes,120.10000,104.17500,12.32500,18.40000,0.03997,0.06959,-0.02840,9.74442,1.88826,59.57500,0.03105,261.00000,78.97500,182.02500,30.27500,0.03448,0.10700,0.00302,0.07432,0.30259,0.01271,-4.36516,1.43387,104.00000,0.00962,0.39847,866.00000,6.76388,0.00410,4.00000,2.00000,2.00000,EltonTraits_Model,NO,-10.63000,10.63000,8.37000,8.37000,-0.81000,0.81000,19.31000,2806304.39000,14.84738,tropical,Wetland,Semi-dense,resident,Carnivore,Aquatic predator,Terrestrial
AVIBASE-13E9F9B4,Botaurus lentiginosus,Botaurus_lentiginosus,Ardeidae,Pelecaniformes,Ardeidae,Pelecaniformes,82.36000,58.62500,10.72000,15.16000,0.07508,0.02303,0.08085,7.68284,1.97323,89.70000,0.02880,270.80000,84.65000,180.10000,32.02500,0.06032,-0.00827,0.04553,-0.03903,0.31259,0.00963,-4.64315,1.50361,88.60000,0.07713,0.32718,706.00000,6.55962,0.00098,5.00000,2.00000,3.00000,Dunning,NO,19.30000,19.30000,63.22000,63.22000,48.37000,48.37000,-97.84000,8778053.14000,15.98777,temperate,Wetland,Open,migratory,Carnivore,Aquatic predator,Terrestrial
AVIBASE-A3E4F16C,Botaurus pinnatus,Botaurus_pinnatus,Ardeidae,Pelecaniformes,Ardeidae,Pelecaniformes,95.98000,68.27500,12.60000,18.46000,0.05262,0.01977,0.05952,7.61746,2.42338,103.92000,0.02518,297.80000,88.32500,205.17500,30.15000,0.10801,0.02661,0.13476,-0.07629,0.29659,0.00916,-4.69310,1.45144,101.20000,0.16798,0.33983,812.20000,6.69975,0.00072,5.00000,2.00000,3.00000,Dunning,NO,-35.73000,35.73000,21.61000,21.61000,-14.08000,14.08000,-64.31000,2262647.75000,14.63205,tropical,Wetland,Open,partial,Carnivore,Aquatic predator,Terrestrial
