avibase_id,species_latin_key,species_english,species_birdlife,species_ioc,species_ebird,species_avilist,order,family_ioc,family_clements,family_birdlife,family_avilist,genus
AVIBASE-01907039,Pachycephala griseonota,Drab Whistler,Pachycephala griseonota,Pachycephala griseonota,Pachycephala griseonota,Pachycephala griseonota,Passeriformes,Pachycephalidae,Pachycephalidae,Pachycephalidae,Pachycephalidae,Pachycephala
AVIBASE-0190A968,Apalis flavigularis,Yellow-throated Apalis,Apalis flavigularis,Apalis flavigularis,Apalis flavigularis,Apalis flavigularis,Passeriformes,Cisticolidae,Cisticolidae,Cisticolidae,Cisticolidae,Apalis
AVIBASE-0195424E,Tesia superciliaris,Javan Tesia,Tesia superciliaris,Tesia superciliaris,Tesia superciliaris,Tesia superciliaris,Passeriformes,Cettiidae,Scotocercidae,Scotocercidae,Cettiidae,Tesia
AVIBASE-0195CFDD,Calamonastes simplex,Grey Wren-warbler,Calamonastes simplex,Calamonastes simplex,Calamonastes simplex,Calamonastes simplex,Passeriformes,Cisticolidae,Cisticolidae,Cisticolidae,Cisticolidae,Calamonastes
AVIBASE-0199E134,Rhipidura semirubra,Manus Fantail,Rhipidura semirubra,Rhipidura semirubra,Rhipidura semirubra,Rhipidura semirubra,Passeriformes,Rhipiduridae,Rhipiduridae,Rhipiduridae,Rhipiduridae,Rhipidura
AVIBASE-019CD871,Coeligena dichroura,Huanuco Starfrontlet,Coeligena dichroura,MISSING,MISSING,MISSING,Caprimulgiformes,MISSING,MISSING,Trochilidae,MISSING,Coeligena
AVIBASE-019E8CA3,Vidua regia,Shaft-tailed Whydah,Vidua regia,Vidua regia,Vidua regia,Vidua regia,Passeriformes,Viduidae,Viduidae,Viduidae,Viduidae,Vidua
AVIBASE-01A11B3A,Eudyptes schlegeli,Royal Penguin,Eudyptes schlegeli,Eudyptes schlegeli,Eudyptes schlegeli,Eudyptes schlegeli,Sphenisciformes,Spheniscidae,Spheniscidae,Spheniscidae,Spheniscidae,Eudyptes
AVIBASE-01A38979,Penelope purpurascens,Crested Guan,Penelope purpurascens,Penelope purpurascens,Penelope purpurascens,Penelope purpurascens,Galliformes,Cracidae,Cracidae,Cracidae,Cracidae,Penelope
AVIBASE-01A3BE3C,Pytilia melba,Green-winged Pytilia,Pytilia melba,Pytilia melba,Pytilia melba,Pytilia melba,Passeriformes,Estrildidae,Estrildidae,Estrildidae,Estrildidae,Pytilia
AVIBASE-01BB9F45,Phacellodomus sibilatrix,Little Thornbird,Phacellodomus sibilatrix,Phacellodomus sibilatrix,Phacellodomus sibilatrix,Phacellodomus sibilatrix,Passeriformes,Furnariidae,Furnariidae,Furnariidae,Furnariidae,Phacellodomus
AVIBASE-01BC8E6F,Spinus olivaceus,Olivaceous Siskin,Spinus olivaceus,Spinus olivaceus,Spinus olivaceus,Spinus olivaceus,Passeriformes,Fringillidae,Fringillidae,Fringillidae,Fringillidae,Spinus
AVIBASE-01BFAE61,Ploceus rubiginosus,Chestnut Weaver,Ploceus rubiginosus,Ploceus rubiginosus,Ploceus rubiginosus,Ploceus rubiginosus,Passeriformes,Ploceidae,Ploceidae,Ploceidae,Ploceidae,Ploceus
AVIBASE-01C20C03,Pomarea whitneyi,Fatu Hiva Monarch,Pomarea whitneyi,Pomarea whitneyi,Pomarea whitneyi,Pomarea whitneyi,Passeriformes,Monarchidae,Monarchidae,Monarchidae,Monarchidae,Pomarea
AVIBASE-01C2BBD4,Cichlopsis gularis,Guianan Solitaire,Cichlopsis gularis,MISSING,MISSING,MISSING,Passeriformes,MISSING,MISSING,Turdidae,MISSING,Cichlopsis
AVIBASE-01CFA60A,Cisticola anonymus,Chattering Cisticola,Cisticola anonymus,Cisticola anonymus,Cisticola anonymus,Cisticola anonymus,Passeriformes,Cisticolidae,Cisticolidae,Cisticolidae,Cisticolidae,Cisticola
AVIBASE-01D478BD,Ixidia erythropthalmos,Spectacled Bulbul,Ixidia erythropthalmos,Ixodia erythropthalmos,Rubigula erythropthalmos,Rubigula erythropthalmos,Passeriformes,Pycnonotidae,Pycnonotidae,Pycnonotidae,Pycnonotidae,Ixidia
AVIBASE-01D755E8,Onychognathus fulgidus,Chestnut-winged Starling,Onychognathus fulgidus,Onychognathus fulgidus,Onychognathus fulgidus,Onychognathus fulgidus,Passeriformes,Sturnidae,Sturnidae,Sturnidae,Sturnidae,Onychognathus
AVIBASE-01EAB134,Dicaeum bicolor,Bicoloured Flowerpecker,Dicaeum bicolor,Dicaeum bicolor,Dicaeum bicolor,Dicaeum bicolor,Passeriformes,Dicaeidae,Dicaeidae,Dicaeidae,Dicaeidae,Dicaeum
AVIBASE-01EFFC14,Stiphrornis xanthogaster,Yellow-breasted Forest-robin,Stiphrornis xanthogaster,Stiphrornis xanthogaster,MISSING,MISSING,Passeriformes,Muscicapidae,MISSING,Muscicapidae,MISSING,Stiphrornis
AVIBASE-01FE1D04,Pardirallus nigricans,Blackish Rail,Pardirallus nigricans,Pardirallus nigricans,Pardirallus nigricans,Pardirallus nigricans,Gruiformes,Rallidae,Rallidae,Rallidae,Rallidae,Pardirallus
AVIBASE-01FF30C9,Ptilinopus cinctus,Black-backed Fruit-dove,Ptilinopus cinctus,Ptilinopus cinctus,Ptilinopus cinctus,Ptilinopus cinctus,Columbiformes,Columbidae,Columbidae,Columbidae,Columbidae,Ptilinopus
AVIBASE-0203FCD8,Aphanotriccus capitalis,Tawny-chested Flycatcher,Aphanotriccus capitalis,Aphanotriccus capitalis,Aphanotriccus capitalis,Aphanotriccus capitalis,Passeriformes,Tyrannidae,Tyrannidae,Tyrannidae,Tyrannidae,Aphanotriccus
AVIBASE-020464B6,Treron formosae,Taiwan Green-pigeon,Treron formosae,Treron formosae,Treron formosae,Treron formosae,Columbiformes,Columbidae,Columbidae,Columbidae,Columbidae,Treron
AVIBASE-020537E1,Pharomachrus pavoninus,Pavonine Quetzal,Pharomachrus pavoninus,Pharomachrus pavoninus,Pharomachrus pavoninus,Pharomachrus pavoninus,Trogoniformes,Trogonidae,Trogonidae,Trogonidae,Trogonidae,Pharomachrus
AVIBASE-0205EDC6,Puffinus assimilis,Little Shearwater,Puffinus assimilis,Puffinus assimilis,Puffinus assimilis,Puffinus assimilis,Procellariiformes,Procellariidae,Procellariidae,Procellariidae,Procellariidae,Puffinus
AVIBASE-02091964,Charadrius veredus,Oriental Plover,Charadrius veredus,Anarhynchus veredus,Anarhynchus veredus,Anarhynchus veredus,Charadriiformes,Charadriidae,Charadriidae,Charadriidae,Charadriidae,Charadrius
AVIBASE-020BE546,Phaps elegans,Brush Bronzewing,Phaps elegans,Phaps elegans,Phaps elegans,Phaps elegans,Columbiformes,Columbidae,Columbidae,Columbidae,Columbidae,Phaps
AVIBASE-020E6199,Cacicus haemorrhous,Red-rumped Cacique,Cacicus haemorrhous,Cacicus haemorrhous,Cacicus haemorrhous,Cacicus haemorrhous,Passeriformes,Icteridae,Icteridae,Icteridae,Icteridae,Cacicus
AVIBASE-0223FDB1,Brotogeris sanctithomae,Tui Parakeet,Brotogeris sanctithomae,Brotogeris sanctithomae,Brotogeris sanctithomae,Brotogeris sanctithomae,Psittaciformes,Psittacidae,Psittacidae,Psittacidae,Psittacidae,Brotogeris
AVIBASE-0224509A,Aulacorhynchus huallagae,Yellow-browed Toucanet,Aulacorhynchus huallagae,Aulacorhynchus huallagae,Aulacorhynchus huallagae,Aulacorhynchus huallagae,Piciformes,Ramphastidae,Ramphastidae,Ramphastidae,Ramphastidae,Aulacorhynchus
AVIBASE-022798AB,Tchagra senegalus,Black-crowned Tchagra,Tchagra senegalus,Tchagra senegalus,Tchagra senegalus,Tchagra senegalus,Passeriformes,Malaconotidae,Malaconotidae,Malaconotidae,Malaconotidae,Tchagra
AVIBASE-0232E9DC,Myiothlypis fulvicauda,Buff-rumped Warbler,Myiothlypis fulvicauda,Myiothlypis fulvicauda,Myiothlypis fulvicauda,Myiothlypis fulvicauda,Passeriformes,Parulidae,Parulidae,Parulidae,Parulidae,Myiothlypis
AVIBASE-0239BBFC,Caryothraustes canadensis,Yellow-green Grosbeak,Caryothraustes canadensis,Caryothraustes canadensis,Caryothraustes canadensis,Caryothraustes canadensis,Passeriformes,Cardinalidae,Cardinalidae,Cardinalidae,Cardinalidae,Caryothraustes
AVIBASE-023D6E38,Ptilopsis granti,Southern White-faced Owl,Ptilopsis granti,Ptilopsis granti,Ptilopsis granti,Ptilopsis granti,Strigiformes,Strigidae,Strigidae,Strigidae,Strigidae,Ptilopsis
AVIBASE-02428AC1,Bycanistes subcylindricus,Black-and-white-casqued Hornbill,Bycanistes subcylindricus,Bycanistes subcylindricus,Bycanistes subcylindricus,Bycanistes subcylindricus,Bucerotiformes,Bucerotidae,Bucerotidae,Bucerotidae,Bucerotidae,Bycanistes
AVIBASE-024383AA,Eubucco steerii,Blue-cowled Barbet,Eubucco steerii,MISSING,MISSING,MISSING,Piciformes,MISSING,MISSING,Capitonidae,MISSING,Eubucco
AVIBASE-024EB09F,Megascops vermiculatus,Vermiculated Screech-owl,Megascops vermiculatus,MISSING,MISSING,MISSING,Strigiformes,MISSING,MISSING,Strigidae,MISSING,Megascops
AVIBASE-0251A809,Phytotoma raimondii,Peruvian Plantcutter,Phytotoma raimondii,Phytotoma raimondii,Phytotoma raimondii,Phytotoma raimondii,Passeriformes,Cotingidae,Cotingidae,Cotingidae,Cotingidae,Phytotoma
