avibase_id,beak_culmen,beak_culmen_m,beak_culmen_f,beak_nares,beak_nares_m,beak_nares_f,beak_width,beak_width_m,beak_width_f,beak_depth,beak_depth_m,beak_depth_f,tarsus,tarsus_m,tarsus_f,wing_len,wing_len_m,wing_len_f,kipps,kipps_m,kipps_f,secondary,secondary_m,secondary_f,hand_wing_index,hand_wing_index_m,hand_wing_index_f,tail_len,tail_len_m,tail_len_f,sample_size,sample_size_f,sample_size_m,mass,mass_source,inference,habitat,habitat_density,migration,primary_diet,trophic_niche,lifestyle,lat_min,lat_max,lat_centroid,lon_centroid,range_size,mass_BB,elevation_min_BB,elevation_range_BB,elevation_max_BB,habitat_BB,primary_diet_BB,nest_type_BB,flightless_BB,trophic_niche_BB,in_avonet,in_birdbase
AVIBASE-FC8265D9,14.5,14.1,14.0,6.76667,7.2,5.9,4.4,5.4,4.0,2.7,2.9,2.7,11.575,11.2,12.6,202.75,200.0,204.0,119.75,120.0,119.0,83.0,80.0,85.0,59.075,60.0,58.3,81.0,78.5,87.0,4.0,1.0,2.0,128.5,Updated_literature,NO,Forest,1.0,1.0,Carnivore,Invertivore,Aerial,-19.68,10.86,-4.58,-73.38,307432.65,104.5,1500.0,1950.0,3450.0,Forest,Carnivore,,No,Invertivore,True,True
AVIBASE-FC849C19,14.65556,15.02,14.2,10.1125,9.975,10.25,6.91111,6.74,7.125,5.24444,5.04,5.5,18.52222,18.7,18.3,67.66667,68.6,66.5,15.01667,15.3,14.73333,53.7,54.73333,52.66667,21.81667,21.83333,21.8,50.44444,51.4,49.25,9.0,4.0,5.0,18.4,Dunning,NO,Forest,1.0,1.0,Omnivore,Omnivore,Insessorial,-24.96,8.35,-4.48,-62.18,6344951.42,18.5,0.0,1000.0,1000.0,Forest,Carnivore,,No,Invertivore,True,True
AVIBASE-FC84F301,13.04,12.73333,13.5,7.475,7.55,7.4,4.0,3.93333,4.1,5.9,5.96667,5.8,17.88,17.93333,17.8,60.2,60.66667,59.5,8.2,8.7,7.7,52.8,53.8,51.8,13.475,13.95,13.0,64.2,64.16667,64.25,5.0,2.0,3.0,15.3,Dunning,NO,Shrubland,2.0,1.0,Omnivore,Granivore,Generalist,23.65,32.79,29.14,-110.52,175983.96,14.98333,0.0,1100.0,1100.0,Grassland,Herbivore,CP,No,Granivore,True,True
AVIBASE-FC943B05,26.625,26.85,26.4,14.9,14.3,15.5,4.375,4.35,4.4,4.8,4.95,4.65,46.875,48.0,45.75,143.0,139.0,147.0,62.875,59.9,65.85,80.125,79.1,81.15,43.925,43.05,44.8,59.75,58.0,61.5,4.0,2.0,2.0,75.8,Dunning,NO,Riverine,3.0,1.0,Carnivore,Aquatic predator,Terrestrial,-27.3,10.77,-7.75,-57.18,11467799.98,72.33333,0.0,850.0,850.0,Wetland,Carnivore,SC,No,Invertivore,True,True
AVIBASE-FC9516DF,49.15,51.07778,45.53333,31.325,31.86667,30.26667,12.00714,12.67778,10.86667,16.27143,16.72222,15.43333,50.1,52.21111,47.6,244.21429,246.66667,240.0,82.94615,83.775,81.73333,160.66923,162.225,158.26667,34.03846,34.0375,34.06667,142.85714,143.0,143.33333,14.0,3.0,9.0,289.0,EltonTraits_Model,NO,Forest,2.0,1.0,Omnivore,Omnivore,Insessorial,17.73,21.45,19.27,-72.55,32245.36,255.0,0.0,2000.0,2000.0,Forest,Omnivore,PL,No,Omnivore,True,True
AVIBASE-FC969B5D,20.82,21.33333,20.2,15.8,16.0,16.0,10.72,10.86667,10.9,18.34,18.63333,18.7,13.34,13.3,16.3,129.06667,130.2,128.4,51.875,52.95,51.5,71.625,74.05,67.5,42.05,41.75,43.3,118.06667,120.0,116.8,15.0,5.0,5.0,70.5,Dunning,NO,Forest,1.0,1.0,Herbivore,Frugivore,Insessorial,-11.01,5.85,-1.04,-70.48,1490802.93,74.5,500.0,1200.0,1700.0,Forest,Herbivore,,No,Frugivore,True,True
AVIBASE-FC98A36A,19.24,19.46667,18.9,10.9,11.05,10.75,9.64,9.7,9.55,9.54,9.76667,9.2,14.3,14.46667,14.05,121.0,119.33333,123.5,46.675,46.2,47.15,74.825,73.3,76.35,38.4,38.65,38.15,141.8,143.66667,139.0,5.0,2.0,3.0,62.0,Dunning,NO,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,5.92,23.09,15.66,79.51,406882.69,62.66667,0.0,1500.0,1500.0,Forest,Carnivore,CV,No,Invertivore,True,True
AVIBASE-FC9E06A0,23.15882,23.1,23.19091,15.05,15.2,15.02,8.21538,8.2,8.22,6.51364,6.47778,6.55,21.91739,21.55556,22.07692,92.00435,94.24444,90.06923,15.35238,14.9125,15.425,76.7619,79.375,74.83333,16.6381,15.7625,17.05833,85.70435,90.2,81.95385,23.0,13.0,9.0,35.5,Dunning,NO,Woodland,2.0,2.0,Carnivore,Invertivore,Insessorial,-32.56,37.51,-6.54,-61.37,10591424.15,39.76667,0.0,2000.0,2000.0,Woodland,Carnivore,CV,No,Invertivore,True,True
AVIBASE-FCA41C81,9.925,9.425,10.73333,5.6,5.45,5.9,3.26,3.26667,3.5,3.15,3.1,3.3,13.9125,14.1,13.8,52.875,53.25,51.66667,12.5,13.63333,10.86667,40.21429,39.36667,40.8,23.68571,25.73333,21.03333,22.625,23.25,22.0,8.0,3.0,4.0,9.3,Dunning,NO,Forest,1.0,1.0,Herbivore,Frugivore,Insessorial,-22.99,-12.21,-18.02,-40.29,125343.35,9.4,0.0,200.0,200.0,Forest,Herbivore,CP,No,Frugivore,True,True
AVIBASE-FCA9F934,18.72,19.46667,17.6,9.8,10.2,9.4,4.16,4.13333,4.2,5.18,5.3,5.0,20.96,20.96667,20.95,92.4,92.66667,92.0,12.5,11.45,13.55,80.5,82.55,78.45,13.475,12.2,14.75,87.8,89.66667,85.0,5.0,2.0,3.0,31.7,Dunning,NO,Shrubland,2.0,1.0,Herbivore,Frugivore,Insessorial,-14.58,5.83,-1.88,13.93,978923.36,36.0,0.0,500.0,500.0,Forest,Herbivore,HC,No,Frugivore,True,True
AVIBASE-FCAE5D9C,10.06,9.93333,10.25,5.6,5.35,5.85,2.22,2.26667,2.15,2.42,2.36667,2.5,19.54,20.2,18.55,52.1,52.16667,52.0,5.575,5.45,5.7,46.3,46.3,46.3,10.75,10.55,10.95,55.8,55.33333,56.5,5.0,2.0,3.0,6.9,Dunning,NO,Forest,2.0,1.0,Carnivore,Invertivore,Insessorial,27.74,45.71,36.15,90.29,1295650.44,7.0,1800.0,3200.0,5000.0,Forest,Carnivore,SP,No,Invertivore,True,True
AVIBASE-FCB3C477,,,,10.9,11.45,10.45,5.92,5.95,6.0,7.46,8.0,7.1,28.78,29.9,28.05,88.8,93.0,86.0,,,,,,,,,,96.2,100.0,92.0,5.0,2.0,2.0,37.0,DataFromSplit,YES,Forest,1.0,1.0,Omnivore,Frugivore,Insessorial,-13.23,-5.28,-10.17,-75.41,80262.79,38.0,1900.0,1600.0,3500.0,Forest,Herbivore,,No,Frugivore,True,True
AVIBASE-FCBB03B8,18.28,18.76667,17.55,10.725,11.05,10.4,4.62,4.53333,4.75,5.98,6.0,5.95,18.48,18.8,18.0,87.0,90.33333,82.0,15.275,17.25,13.3,70.475,72.25,68.7,17.75,19.25,16.25,67.4,67.66667,67.0,5.0,2.0,3.0,22.3,Dunning,NO,Forest,2.0,1.0,Carnivore,Invertivore,Insessorial,-25.17,-11.95,-19.09,46.85,445373.26,22.2,0.0,1200.0,1200.0,Forest,Carnivore,CP,No,Invertivore,True,True
AVIBASE-FCC6C5EA,23.25385,23.175,22.575,12.6,12.8,12.4,4.9,4.93333,4.85,6.04,6.0,6.1,31.28462,31.2,31.725,115.75385,116.0125,116.2,32.85,32.72857,33.4,82.8,83.14286,82.8,28.39167,28.21429,28.75,82.97692,82.3375,84.125,13.0,4.0,8.0,66.7,Dunning,NO,Forest,1.0,3.0,Carnivore,Invertivore,Terrestrial,37.8,60.13,50.79,131.93,1755458.64,63.5,0.0,1100.0,1100.0,Forest,Carnivore,CP,No,Invertivore,True,True
AVIBASE-FCD5D1E4,11.7,11.88571,11.26667,8.2,8.16667,8.3,5.26,5.275,5.2,6.72,6.625,7.1,17.56,17.42857,17.86667,66.61,66.62857,66.56667,10.03333,10.0,10.1,56.64444,56.73333,56.46667,15.02222,14.95,15.16667,53.88,54.45714,52.53333,10.0,3.0,7.0,14.0,Dunning,NO,Woodland,2.0,1.0,Herbivore,Granivore,Terrestrial,15.65,21.26,18.32,-100.92,140628.19,13.55,0.0,900.0,900.0,Forest,Herbivore,CP,No,Granivore,True,True
AVIBASE-FCD72CEE,13.99091,13.86667,14.14,9.575,9.55,9.6,6.68,6.5,6.95,7.26,7.16667,7.4,18.61818,18.61667,18.62,86.36364,89.5,82.6,19.36,20.02,18.7,66.94,69.98,63.9,22.34,22.14,22.54,60.86364,61.91667,59.6,11.0,5.0,6.0,24.1,Dunning,NO,Grassland,3.0,1.0,Herbivore,Omnivore,Generalist,-5.4,18.06,6.34,35.22,1608726.47,24.75,0.0,1800.0,1800.0,Grassland,Herbivore,"CV,CR",No,Omnivore,True,True
AVIBASE-FCD9D132,21.34,22.53333,19.55,15.05,16.8,13.3,3.48,3.36667,3.65,2.9,2.93333,2.85,15.54,16.4,14.25,55.4,57.0,53.0,8.75,8.7,8.8,46.0,47.8,44.2,16.025,15.4,16.65,74.5,109.0,40.0,5.0,2.0,3.0,8.2,Dunning,NO,Forest,1.0,1.0,Omnivore,Nectarivore,Insessorial,19.77,31.96,27.26,92.37,586253.74,8.25,610.0,4270.0,4880.0,Forest,Herbivore,PN,No,Nectarivore,True,True
