avibase_id,species_birdlife,species_ebird,species_birdtree,family_birdlife,order_birdlife,family_ebird,order_ebird,family_birdtree,order_birdtree
AVIBASE-954948C3,Locustella castanea,Locustella disturbans,Bradypterus castaneus,MISSING,MISSING,Locustellidae,Passeriformes,Sylviidae,Passeriformes
AVIBASE-9551017F,Amaurospiza moesta,Amaurospiza concolor,Amaurospiza concolor,MISSING,MISSING,MISSING,MISSING,Cardinalidae,Passeriformes
AVIBASE-9551D3F3,Psephotellus chrysopterygius,Psephotus chrysopterygius,Psephotus chrysopterygius,Psittacidae,Psittaciformes,Psittaculidae,Psittaciformes,Psittacidae,Psittaciformes
AVIBASE-9556A2DB,Celeus loricatus,Celeus loricatus,Celeus loricatus,Picidae,Piciformes,Picidae,Piciformes,Picidae,Piciformes
AVIBASE-95594E16,Serinus syriacus,Serinus syriacus,Serinus syriacus,Fringillidae,Passeriformes,Fringillidae,Passeriformes,Fringillidae,Passeriformes
AVIBASE-955A3BD9,Eurostopodus diabolicus,Eurostopodus diabolicus,Eurostopodus diabolicus,Caprimulgidae,Caprimulgiformes,Caprimulgidae,Caprimulgiformes,Caprimulgidae,Caprimulgiformes
AVIBASE-9560088E,Phaps histrionica,Phaps histrionica,Phaps histrionica,Columbidae,Columbiformes,Columbidae,Columbiformes,Columbidae,Columbiformes
AVIBASE-9564C804,Ninox variegata,Ninox variegata,Ninox variegata,Strigidae,Strigiformes,Strigidae,Strigiformes,Strigidae,Strigiformes
AVIBASE-9569D117,Ploceus grandis,Ploceus grandis,Ploceus grandis,Ploceidae,Passeriformes,Ploceidae,Passeriformes,Ploceidae,Passeriformes
AVIBASE-956D9AB7,Chaetocercus jourdanii,Chaetocercus jourdanii,Chaetocercus jourdanii,Trochilidae,Caprimulgiformes,Trochilidae,Caprimulgiformes,Trochilidae,Apodiformes
AVIBASE-957638DE,Melidectes princeps,Melidectes princeps,Melidectes princeps,Meliphagidae,Passeriformes,Meliphagidae,Passeriformes,Meliphagidae,Passeriformes
AVIBASE-957D21B7,Erythropitta caeruleitorques,Erythropitta caeruleitorques,Pitta erythrogaster,Pittidae,Passeriformes,Pittidae,Passeriformes,Pittidae,Passeriformes
AVIBASE-9580F5D9,Coccyzus pluvialis,Coccyzus pluvialis,Coccyzus pluvialis,Cuculidae,Cuculiformes,Cuculidae,Cuculiformes,Cuculidae,Cuculiformes
AVIBASE-95820ED1,Glareola nuchalis,Glareola nuchalis,Glareola nuchalis,Glareolidae,Charadriiformes,Glareolidae,Charadriiformes,Glareolidae,Charadriiformes
AVIBASE-9584A5CA,Oreophasis derbianus,Oreophasis derbianus,Oreophasis derbianus,Cracidae,Galliformes,Cracidae,Galliformes,Cracidae,Galliformes
AVIBASE-958F4A5E,Cecropis semirufa,Cecropis semirufa,Hirundo semirufa,Hirundinidae,Passeriformes,Hirundinidae,Passeriformes,Hirundinidae,Passeriformes
AVIBASE-9597E0CA,Acrocephalus australis,Acrocephalus australis,Acrocephalus australis,MISSING,MISSING,Acrocephalidae,Passeriformes,Sylviidae,Passeriformes
AVIBASE-959E1633,Dendrocitta vagabunda,Dendrocitta vagabunda,Dendrocitta vagabunda,Corvidae,Passeriformes,Corvidae,Passeriformes,Corvidae,Passeriformes
AVIBASE-959FEC0D,Coracias affinis,Coracias affinis,Coracias benghalensis,Coraciidae,Coraciiformes,Coraciidae,Coraciiformes,Coraciidae,Coraciiformes
AVIBASE-95A02709,Campephaga petiti,Campephaga petiti,Campephaga petiti,Campephagidae,Passeriformes,Campephagidae,Passeriformes,Campephagidae,Passeriformes
AVIBASE-95A2F6E7,Oriolus percivali,Oriolus percivali,Oriolus percivali,Oriolidae,Passeriformes,Oriolidae,Passeriformes,Oriolidae,Passeriformes
AVIBASE-95A33B5D,Asthenes dorbignyi,Asthenes dorbignyi,Asthenes dorbignyi,Furnariidae,Passeriformes,MISSING,MISSING,Furnariidae,Passeriformes
AVIBASE-95A724BE,Euplectes diadematus,Euplectes diadematus,Euplectes diadematus,Ploceidae,Passeriformes,Ploceidae,Passeriformes,Ploceidae,Passeriformes
AVIBASE-95A9CD5E,Orthotomus chaktomuk,Orthotomus chaktomuk,Orthotomus atrogularis,Cisticolidae,Passeriformes,Cisticolidae,Passeriformes,Sylviidae,Passeriformes
AVIBASE-95AC2035,Catharopeza bishopi,Catharopeza bishopi,Catharopeza bishopi,Parulidae,Passeriformes,Parulidae,Passeriformes,Parulidae,Passeriformes
AVIBASE-95AE2108,Pyriglena leucoptera,Pyriglena leucoptera,Pyriglena leucoptera,Thamnophilidae,Passeriformes,Thamnophilidae,Passeriformes,Thamnophilidae,Passeriformes
AVIBASE-95B6C7C5,Schistolais leucopogon,Schistolais leucopogon,Prinia leucopogon,Cisticolidae,Passeriformes,Cisticolidae,Passeriformes,Cisticolidae,Passeriformes
AVIBASE-95B77F08,Dumetella carolinensis,Dumetella carolinensis,Dumetella carolinensis,Mimidae,Passeriformes,Mimidae,Passeriformes,Mimidae,Passeriformes
AVIBASE-95C1E715,Oenanthe albonigra,Oenanthe albonigra,Oenanthe albonigra,Muscicapidae,Passeriformes,Muscicapidae,Passeriformes,Muscicapidae,Passeriformes
AVIBASE-95C30DA2,Tangara phillipsi,Stilpnia phillipsi,Tangara phillipsi,Thraupidae,Passeriformes,Thraupidae,Passeriformes,Thraupidae,Passeriformes
