eBird species code 2019,Com_name,Sci_name,Subspecies,Illustration_id,Credit,Sex,Age,Morph,Order,Family,Group,color1,color2,color3,color4,color5,color6,color7,color8,color9,color10,color11,color12,color13,color14,color15,color16,color17,color18,color19,color20,color21,color22,color23,color24
souboo8,Southern Boobook,Ninox boobook,lurida,151476541,Norman Arlott,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.079,0.017,0.008,0.045,0,0.005,0.022,0.024,0.002,0.004,0.016,0.004,0.012,0.115,0.025,0.136,0.092,0.014,0.006,0,0.267,0,0.012,0.095
souboo8,Southern Boobook,Ninox boobook,ocellata,151476551,Norman Arlott,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.125,0.007,0.013,0.077,0,0.044,0.034,0.011,0.05,0.041,0.015,0.027,0.018,0.127,0.049,0.153,0.016,0.012,0.044,0,0.079,0.002,0.022,0.034
souboo8,Southern Boobook,Ninox boobook,plesseni,153006831,Norman Arlott,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.116,0.037,0.037,0.054,0,0.001,0.025,0.062,0.001,0,0.007,0,0.029,0.122,0.024,0.148,0.001,0.06,0,0,0.081,0.006,0.044,0.145
toghao1,Togian Boobook,Ninox burhani,nominate,151476741,Hilary Burn,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.085,0.069,0.111,0.044,0,0.008,0.052,0.064,0.001,0,0.026,0.001,0.076,0.135,0.028,0.038,0.002,0.09,0,0,0.022,0.001,0.059,0.088
barowl1,Barking Owl,Ninox connivens,assimilis,151476451,Norman Arlott,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.087,0.03,0.022,0.061,0.001,0.013,0.026,0.029,0.009,0.008,0.019,0.005,0.023,0.115,0.06,0.117,0.047,0.029,0.007,0,0.202,0,0.024,0.066
barowl1,Barking Owl,Ninox connivens,nominate,151476461,Norman Arlott,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.1,0.028,0.014,0.054,0.001,0.008,0.054,0.041,0.002,0.001,0.018,0.001,0.036,0.155,0.038,0.132,0.042,0.025,0.001,0.002,0.148,0,0.036,0.063
molhao2,Tanimbar Boobook,Ninox forbesi,nominate,151476831,Ian Willis,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.04,0.006,0.002,0.031,0,0.009,0.007,0.003,0.012,0.082,0.02,0.001,0.015,0.1,0.023,0.215,0.002,0.001,0.339,0,0.052,0,0.007,0.033
molhao3,Halmahera Boobook,Ninox hypogramma,nominate,151476781,Ian Willis,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.054,0.019,0.012,0.026,0,0.005,0.012,0.009,0.004,0.009,0.015,0,0.017,0.093,0.021,0.143,0.041,0.025,0.01,0,0.362,0,0.01,0.113
cinhao1,Cinnabar Boobook,Ninox ios,nominate,151476771,Hilary Burn,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.192,0.009,0.011,0.233,0,0.011,0.011,0.017,0.002,0.006,0.065,0.003,0.006,0.064,0.112,0.18,0.001,0.013,0,0,0.014,0,0.012,0.038
solhao1,Solomons Boobook,Ninox jacquinoti,floridae,151476921,Norman Arlott,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.053,0.015,0,0.032,0.001,0.022,0.032,0.008,0.007,0.004,0.045,0,0.036,0.111,0.039,0.086,0.072,0.004,0.003,0,0.347,0.001,0.006,0.076
